date,open,high,low,close,volume
2021-04-07,180.0,180.0,180.0,180.0,145.0
2021-04-08,190.0,190.0,170.0,170.0,1305.0
2021-04-09,170.0,170.0,160.0,160.0,382.0
2021-04-12,160.0,160.0,155.0,155.0,2010.0
2021-04-13,155.0,160.0,155.0,160.0,568.0
2021-04-14,160.0,160.0,150.0,150.0,323.0
2021-04-15,155.0,155.0,155.0,155.0,900.0
2021-04-16,160.0,160.0,150.0,150.0,577.0
2021-04-20,150.0,150.0,150.0,150.0,5062.0
2021-04-21,160.0,160.0,150.0,150.0,875.0
2021-04-22,160.0,160.0,160.0,160.0,30035.0
2021-04-23,170.0,170.0,170.0,170.0,33.0
2021-04-26,180.0,180.0,180.0,180.0,5.0
2021-04-27,190.0,190.0,190.0,190.0,15.0
2021-04-28,200.0,200.0,200.0,200.0,210.0
2021-04-29,200.0,215.0,200.0,215.0,11.0
2021-04-30,230.0,230.0,230.0,230.0,776.0
2021-05-03,245.0,245.0,245.0,245.0,565.0
2021-05-04,260.0,260.0,260.0,260.0,1430.0
2021-05-05,275.0,275.0,275.0,275.0,8991.0
2021-05-06,295.0,295.0,295.0,295.0,1655.0
2021-05-07,295.0,315.0,295.0,315.0,2991.0
2021-05-10,320.0,320.0,320.0,320.0,635.0
2021-05-11,320.0,320.0,320.0,320.0,2420.0
2021-05-12,320.0,320.0,320.0,320.0,2420.0
2021-05-14,320.0,320.0,300.0,300.0,8320.0
2021-05-17,305.0,320.0,305.0,320.0,3219.0
2021-05-18,320.0,320.0,320.0,320.0,2104.0
2021-05-20,310.0,310.0,300.0,300.0,265.0
2021-05-21,300.0,300.0,290.0,290.0,54.0
2021-05-24,300.0,300.0,290.0,290.0,54.0
2021-05-25,300.0,300.0,300.0,300.0,610.0
2021-05-26,300.0,300.0,300.0,300.0,398.0
2021-05-27,280.0,300.0,280.0,300.0,11452.0
2021-05-28,300.0,300.0,300.0,300.0,40.0
2021-05-31,300.0,300.0,300.0,300.0,78.0
2021-06-01,300.0,300.0,300.0,300.0,1501.0
2021-06-02,285.0,290.0,285.0,290.0,1120.0
2021-06-03,290.0,290.0,290.0,290.0,192.0
2021-06-04,270.0,270.0,270.0,270.0,1405.0
2021-06-07,250.0,250.0,250.0,250.0,5796.0
2021-06-08,265.0,265.0,250.0,250.0,5308.0
2021-06-09,250.0,250.0,250.0,250.0,829.0
2021-06-10,260.0,260.0,250.0,250.0,500.0
2021-06-11,250.0,250.0,250.0,250.0,207.0
2021-06-14,255.0,265.0,255.0,265.0,411.0
2021-06-15,265.0,280.0,265.0,280.0,461.0
2021-06-16,300.0,300.0,300.0,300.0,25.0
2021-06-17,315.0,320.0,315.0,320.0,2499.0
2021-06-18,340.0,340.0,340.0,340.0,200.0
2021-06-21,365.0,365.0,365.0,365.0,1218.0
2021-06-22,390.0,390.0,390.0,390.0,289.0
2021-06-23,415.0,415.0,415.0,415.0,16833.0
2021-06-24,445.0,445.0,445.0,445.0,520.0
2021-06-25,475.0,475.0,415.0,415.0,17600.0
2021-06-28,420.0,440.0,420.0,440.0,1518.0
2021-06-29,440.0,440.0,435.0,435.0,4467.0
2021-06-30,420.0,450.0,420.0,450.0,6410.0
2021-07-01,450.0,450.0,420.0,420.0,508.0
2021-07-02,420.0,420.0,400.0,400.0,741.0
2021-07-05,415.0,415.0,370.0,370.0,880.0
2021-07-06,365.0,365.0,345.0,345.0,645.0
2021-07-07,365.0,370.0,365.0,370.0,5915.0
2021-07-08,370.0,395.0,370.0,395.0,3053.0
2021-07-09,400.0,400.0,370.0,370.0,309.0
2021-07-12,370.0,370.0,370.0,370.0,20.0
2021-07-13,395.0,395.0,395.0,395.0,121.0
2021-07-14,400.0,420.0,400.0,420.0,1951.0
2021-07-15,420.0,420.0,420.0,420.0,3.0
2021-07-16,420.0,420.0,420.0,420.0,310.0
2021-07-19,415.0,430.0,415.0,430.0,251.0
2021-07-20,415.0,430.0,415.0,430.0,251.0
2021-07-21,420.0,420.0,420.0,420.0,330.0
2021-07-22,420.0,420.0,420.0,420.0,462.0
2021-07-23,420.0,420.0,390.0,390.0,346.0
2021-07-26,365.0,370.0,365.0,370.0,924.0
2021-07-27,390.0,390.0,380.0,380.0,1080.0
2021-07-28,380.0,380.0,370.0,370.0,3332.0
2021-07-29,390.0,390.0,345.0,345.0,10791.0
2021-07-30,350.0,350.0,320.0,320.0,24039.0
2021-08-02,300.0,300.0,300.0,300.0,7330.0
2021-08-03,305.0,320.0,305.0,320.0,2413.0
2021-08-04,340.0,340.0,310.0,310.0,12601.0
2021-08-05,305.0,310.0,305.0,310.0,7991.0
2021-08-06,315.0,330.0,315.0,330.0,1124.0
2021-08-09,350.0,350.0,330.0,330.0,4227.0
2021-08-10,350.0,350.0,345.0,345.0,6786.0
2021-08-11,360.0,360.0,320.0,320.0,11737.0
